name1,name2,race,tp,fp,tn,fn,total
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
Dat,Eun,Asian,12,6,18,64,100
